ParkName,Region,State,Year,Recreation Visits
Acadia NP,Northeast,ME,1979,2787366
Acadia NP,Northeast,ME,1980,2779666
Acadia NP,Northeast,ME,1981,2997972
Acadia NP,Northeast,ME,1982,3572114
Acadia NP,Northeast,ME,1983,4124639
Acadia NP,Northeast,ME,1984,3734763
Acadia NP,Northeast,ME,1985,3745570
Acadia NP,Northeast,ME,1986,3929054
Acadia NP,Northeast,ME,1987,4288154
Acadia NP,Northeast,ME,1988,4502283
Acadia NP,Northeast,ME,1989,5440952
Acadia NP,Northeast,ME,1990,2339591
Acadia NP,Northeast,ME,1991,2475857
Acadia NP,Northeast,ME,1992,2382113
Acadia NP,Northeast,ME,1993,2656034
Acadia NP,Northeast,ME,1994,2710749
Acadia NP,Northeast,ME,1995,2845378
Acadia NP,Northeast,ME,1996,2704831
Acadia NP,Northeast,ME,1997,2760306
Acadia NP,Northeast,ME,1998,2594497
Acadia NP,Northeast,ME,1999,2602227
Acadia NP,Northeast,ME,2000,2469238
Acadia NP,Northeast,ME,2001,2516551
Acadia NP,Northeast,ME,2002,2558572
Acadia NP,Northeast,ME,2003,2431062
Acadia NP,Northeast,ME,2004,2207847
Acadia NP,Northeast,ME,2005,2051484
Acadia NP,Northeast,ME,2006,2083588
Acadia NP,Northeast,ME,2007,2202228
Acadia NP,Northeast,ME,2008,2075857
Acadia NP,Northeast,ME,2009,2227698
Acadia NP,Northeast,ME,2010,2504208
Acadia NP,Northeast,ME,2011,2374645
Acadia NP,Northeast,ME,2012,2431052
Acadia NP,Northeast,ME,2013,2254922
Acadia NP,Northeast,ME,2014,2563129
Acadia NP,Northeast,ME,2015,2811184
Acadia NP,Northeast,ME,2016,3303393
Acadia NP,Northeast,ME,2017,3509271
Acadia NP,Northeast,ME,2018,3537575
Acadia NP,Northeast,ME,2019,3437286
Acadia NP,Northeast,ME,2020,2669034
Acadia NP,Northeast,ME,2021,4069098
Acadia NP,Northeast,ME,2022,3970260
Acadia NP,Northeast,ME,2023,3879890
Arches NP,Intermountain,UT,1979,269840
Arches NP,Intermountain,UT,1980,290519
Arches NP,Intermountain,UT,1981,326508
Arches NP,Intermountain,UT,1982,339415
Arches NP,Intermountain,UT,1983,287875
Arches NP,Intermountain,UT,1984,345180
Arches NP,Intermountain,UT,1985,363464
Arches NP,Intermountain,UT,1986,419444
Arches NP,Intermountain,UT,1987,468916
Arches NP,Intermountain,UT,1988,520455
Arches NP,Intermountain,UT,1989,555809
Arches NP,Intermountain,UT,1990,620719
Arches NP,Intermountain,UT,1991,705882
Arches NP,Intermountain,UT,1992,799831
Arches NP,Intermountain,UT,1993,773678
Arches NP,Intermountain,UT,1994,777178
Arches NP,Intermountain,UT,1995,859374
Arches NP,Intermountain,UT,1996,856016
Arches NP,Intermountain,UT,1997,858525
Arches NP,Intermountain,UT,1998,837161
Arches NP,Intermountain,UT,1999,869980
Arches NP,Intermountain,UT,2000,786429
Arches NP,Intermountain,UT,2001,754026
Arches NP,Intermountain,UT,2002,769672
Arches NP,Intermountain,UT,2003,757781
Arches NP,Intermountain,UT,2004,733131
Arches NP,Intermountain,UT,2005,781670
Arches NP,Intermountain,UT,2006,833049
Arches NP,Intermountain,UT,2007,860181
Arches NP,Intermountain,UT,2008,928795
Arches NP,Intermountain,UT,2009,996312
Arches NP,Intermountain,UT,2010,1014405
Arches NP,Intermountain,UT,2011,1040758
Arches NP,Intermountain,UT,2012,1070577
Arches NP,Intermountain,UT,2013,1082866
Arches NP,Intermountain,UT,2014,1284767
Arches NP,Intermountain,UT,2015,1399247
Arches NP,Intermountain,UT,2016,1585718
Arches NP,Intermountain,UT,2017,1539028
