title,author (first last),author (last name),text,month,year,venue,edited by,form (if known),gender (if known),themes,second venue,published in (city),Magazine Type,Author Bio.
Neath the Crown and Maple Leaf,A.R. Abbott,Abbott,"A SIGH is breathed from million heart.
From Slavery's chains set free:
A million tongues now sadly cry,
Great teen, we weep for thee'

Our Queen is dead; for her all mourn.
In hamlet, palace, hall.
My Queen is dead!"" a warrior cries,
In a lonely Zulu Kraal.

Though high of race, in power and place.
Thy woman's love, O Queen,
O'er every land. from Britain's Isle
To Afric's sand was seen.

The lowliest found in thy domain
Justice to Truth allied;
Tyrants who boast that "" might is right.""
Soon pass beyond thy tide.

Thy virtue set a nobler goal,
Which all might seek to find;
Man calls his fellowman his friend,
Nor asks his hue or kind.

Ye heard, sad victims of man greed.
Her Sovereign voice, which said
""On Britain's sacred soul the slay
In chains shall never tread""

""Soon as the bondman's weary feet
Shall press its holy crust.
That moment he a free man stand-
This shackles fall to dust

On snow-clad [illegible] the North Star smiles
Our guide in days of grief.
But sorrow fled, and joy was found
Neath the Crown and Maple leaf

And now in solemn silence be
Bengali, Bedouin;
In palm-clad isles; 'neath Orient skies
Proud Turk and Fellaheen.

While Afric's sons, wherever found,
In free and blest manhood,
Revere the name of England's Queen:
Victoria the Good.


Published in Colored American Magazine",March,1901,Colored American ,Walter W. Wallace,"Elegy, Common Measure",male,Empire,,Boston,Predom. Black,
The Friend I Love,Ada M. Wright,Wright,"I LOVE a friend whose cheering voice
Can soothe my aching heart;
Can wipe the tears of grief away
When sorrow bids them start.
I love a friend whose gentle hand
Removes the bitter cup of grief;
Who binds the wounds he did not make,
And kindly brings relief.
I love a friend whose beaming smile
Is like a ray of light,
To cheer me on my lonely way
Through sorrow's darksome night.",February,1901,Colored American ,Walter W. Wallace,,female,,,Boston,Predom. Black,https://en.wikipedia.org/wiki/Olivia_Ward_Bush-Banks
Black Madonna,Albert Rice,Rice,"Not as the white nations
    know thee
        O Mother!
But swarthy of cheek
    and full-lipped as the
        child races are.
Yet thou art she,
    the Immaculate Maid,
        and none other,
Crowned in the stable
    at Bethlehem,
        hailed of the star.
See where they come,
    thy people,
        so humbly appealing,
From the ancient lands
    where the olden faiths
        had birth.
Tired dusky hands
    uplifted for thy
        healing.
Pity them, Mother,
    the untaught
        of earth.",October,1926,Palms,Countee Cullen,,male,Motherhood,Caroling Dusk,"Guadalajara, Mexico",Predom. White,https://poets.org/poet/albert-rice
The Baby,Alexander Seymour,Seymour,"Sweetest little t'ing on earth,
No one knows how much you's worth!– 
Though I know you's worth a lot– 
More than any other tot :
There's no baby anywhere
Is as sweet as you, my dear.

Dearest t'ing a body knows,
Sweeter than the sweetest rose
In the June-time, in the Spring,
Dearer than the dearest t'ing;
Matters not who else I see,
You's the clearest chil' to me.

Brightest, cutest little eyes
Lak the sun in Summer's skies ;
Cunnin' little moufe an' nose,
Teeth o' pearl, an' cheeks o' rose,–
Goodness lan's, you's so complete
It's no wonder you's so sweet!

Got a smile so deep an' broad,
An' yo' ways jes' one sweet chord;
Dearest, I mus' git you tol':
You is worth yo' weight in gol'!
Sell you! Not far any price!– 
You's too dear, too sweet, an' nice.",March,1927,The Messenger,"A. Philip Randolph, Chandler Owen, George S. Schuyler",,male,Children,,New York,Predom. Black,
April Is On The Way,Alice Dunbar Nelson,Dunbar-Nelson," April is on the way! 
 
I saw the scarlet flash of a blackbird’s wing 
As he sang in the cold, brown February trees; 
And children said that they caught a glimpse of the sky on a bird’s wing from the far South. 
 
 (Dear God, was that a stark figure outstretched in 
 the bare branches  Etched brown against the amethyst sky?) 
 
 April is on the way! 
 
 The ice crashed in the brown mud-pool under my 
 tread, 
 
 The warning earth clutched my hluody feet with 
 great fecund fingers. 
 
 I saw a boy rolling a hoop up the road, 
 
 His little bare hands were red with cold, 
 
 But his brown hair blew backward in the southwest 
 wind. 
 
 (Dear God! He screamed when he saw my awful 
 woe-spent eyes.) 
 
 April is on the way! 
 
 I met a woman in the lane; 
 
 Her burden was heavy as it is always, but today 
 her step was light, 
 
 And a smile drenched the tired look away from her 
 eyes. 
 
 (Dear God, she had dreams of vengeance for her 
 slain mate, 
 
 Perhaps the west wind has blown the mist of hate 
 from her heart, 
 
 The dead man was cruel to her, you know that, 
 
 God.) 
 
 April is on the way! 
 
 My feet spurn the ground now, instead of dragging 
 on the bitter road. 
 
 I laugh in my throat as I see the grass greening be- 
 side the patches of snow 
 
 (Dear God, those were wild fears. Can there be 
 hate when the southwest wind is blowing?) 
 
 April is on the way! 
 
 The crisp brown hedges stir with the bustle of bird 
 Wings. 
 
 There is business of building, and songs from brown 
 thrush throats 
 
 As the bird-carpenters make homes against Valen- 
 tine Day. 
 
 (Dear God, could they build me a shelter in the 
 hedge from the icy winds that will come 
 with the dark?) 
 
 April is on the way! 
 
 I sped through the town this morning. The florist 
 shops have put yellow flowers in the win- 
 dows, 
 
 Daffodils and tulips and primroses, pale yellow 
 flowers 
 
 Like the tips of her fingers when she waved me that 
 frightened farewell. 
 
 And the women in the market have stuck pussy wil- 
 lows in long necked bottles on their stands. 
 
 (Willow trees are kind, Dear God. They will not 
 bear a body on their limbs.) 
 
 April is on the way! 
 
 The soul within me cried that all the husk of in- 
 difference to sorrow was but the crust of ice 
 with which winter disguises life; 
 
 It will melt, and reality will burgeon forth like the 
 crocuses in the glen. 
 
 (Dear God! Those thoughts were from long ago. 
 When we read poetry after the day’s toil. 
 and got religion together at the revival 
 meeting.) 
 
 A pril is on the way! 
 
 The infinite miracle of unfolding life in the brown 
 February fields. 
 
 (Dear God, the hounds are baying!) 
 
 Murder and wasted love, lust and weariness, deceit 
 and vainglory—what are they but the spent 
 breath of the runner? 
 
 (God, you know he laid hairy red hands on the 
 
 golden loveliness of her little daffodil body) 
 Hate may destroy me, but from my brown limbs 
 will bloom the golden buds with which we 
 once spelled love. 
 (Dear God! How their light eyes glow into black 
 pin points of hate!) 
 
 A pril is on the way! 
 
 Wears are made in April, and they sing at Easter 
 time of the Resurrection. 
 
 Therefore I laugh in their faces. 
 
 (Dear God, give her strength to join me before her 
 
 . golden petals are fouled in the slime!) 
 
 April is on the way! ",December,1927,Ebony and Topaz,Charles S. Johnson,,female,,,New York,Predom. Black,https://en.wikipedia.org/wiki/Alice_Dunbar_Nelson
A Prayer (1928),Alice Dunbar-Nelson,Dunbar-Nelson,"Lord, keep my soul from bitterness and sting,
My heart from searing scorch and crushing blight;
I would not, by my gloom, obscure the light
Which might illumine rocks where others cling.
Far better, Lord, my eager hands should bring
Some little gift with my heart's blood a-dight,
To this great good. Ere I shall merge in night,
Let me not grovel, Lord, aloft, I'd sing.
For those who stand with twisted fear-clenched hands,
And heart's red chalice brimming full of hate,
See life's gold gates swing open far too late,
And peace go streaming by with hurried stare.
Far better 'twere to face the hoarse-voiced crowd,
And hoist love's guidon in the turgid air.",May,1928,The Carolina Magazine,Lewis Alexander,Sonnet,female,,,"Chapel Hill, NC",Predom. White,https://en.wikipedia.org/wiki/Alice_Dunbar_Nelson
Sonnet,Alice Dunbar-Nelson,Dunbar-Nelson,"I had not thought of violets of late,
The wild, shy kind that spring beneath your feet
In wistful April days, when lovers mate
And wander through the fields in rapturous sweet,
The thought of violets meant florists’ shops,
And bows and pins, and perfumed papers fine;
And garish lights, and mincing little fops,
And cabarets and songs, and deadenign wine.
So far from the sweet real things my thoughts had strayed,
I had forgot wide fields, and clear brown streams; 
The perfect loveliness that God has made,--
Wild violets shy and Heaven-mounting dreams.
And now–unwittingly, you’ve made me dream 
Of violets and my soul’s forgotten gleam.",August,1919,The Crisis,"W.E.B. Du Bois, Jessie Fauset",Sonnet,female,,,New York,Predom. Black,https://en.wikipedia.org/wiki/Alice_Dunbar_Nelson
The Penitent,Alivra Hazzard,Hazzard,"A cowering figure
Clutching a cross
Enters Heaven
By the back way. ",June,1928,Saturday Evening Quill,Eugene Gordon,,female,Religion,,Boston,Predom. Black,https://books.google.com/books?id=vAVl9UZxtSoC&pg=PA61&lpg=PA61&dq=alvira+hazzard&source=bl&ots=ZWFOSnonD0&sig=ACfU3U3MCpmp-KHXIn79XPkTTzkhpV-WMQ&hl=en&sa=X&ved=2ahUKEwietfiNjP6FAxVuDHkGHTjJBUoQ6AF6BAgFEAM#v=onepage&q=alvira%20hazzard&f=false
Fighters,Allison Davis,Davis,"These of the coal-black faces
Confide, low-voiced,
Fisherman, washerwoman,
Quietly shutting themselves off From the pool-room loafers.
Unbroken
By the salt spume of the sea,
Tight-lipped against the whispering fears of age,
He holds her laughing.
In his keen eyes
The gleam of one who knows he must endure
All shifting winds,
And hate
Of deep-embittered sons of slaving race,
Must outreach
The hunger of insatiate women,
And broken nets at sea.
Her brave face
Softens in a smile 
And light of youth's long hopes and passion
Sunk away.
But she has seasoned in her proper time
And grown to mellow laughter.
Strong,
Like some far runner turning with new vigor
Home.
Now she is firm
Against the tearings of untimely births,
And sweating steam of clothes;
Firm now, at last,
Against the pleading smiles
Of brutal, melancholy,
Rich-voiced men. ",June,1928,Opportunity,"Charles S. Johnson, Countee Cullen",Free verse,male,Labor,,New York,Predom. Black,https://en.wikipedia.org/wiki/Allison_Davis_(anthropologist)
The Second Generation,Allison Davis,Davis,"Physician
The patients who loved you,
And the hope work brought,
Sustained you, 
When, worn out by late vigils
With the sick, poor and black,
You had to crawl
On hands and knees
To those who trusted you,
Alone.

Physician

You find real pleasure in your work—
Taking liberties when you examine women,
And joking about it later.

You prosper
By prescribing dope to the slum Negroes
For medicine,
And taking their money with no serious effort to help them.

When you have made your “pile”,
You will move as far away from the Negro section
As you can go.

Minister

You have something in you
Which has made you feel the Church
A bigger thing than yourself,—
A Baptist church,—
And which has made you go months without salary,
So that the Church might be saved;

Something
Which has made your talk
Like a friend’s silent confidence,
And your face unlike other men’s,
And made even your wife
Respect you.

Do you wish to call it “God”?
I know you will speak it quietly.

Minister

You make your living
By talking through a service 
About God,
And rejoice equally
To get a marriage or 
A funeral.

Have you convinced yourself yet
That this whole business of a church 
And confident speaking to God, with you leading, 
Is not a madman’s game?

And aren’t they fools to be paying you a salary 
To speak to God for them,
When your thoughts are always
Of a pretty wife
And a larger church?

Lawyer

You brought home your northern education
To bleed the poor “n*****s” you scorn,
Threatening frantic blacks with jail,
And pretending to save them from
The Bugaboo of the Law.
From one love-blind mother,
You boast,
You got all she had,
Three hundred dollars,
To keep her son out of jail.

Well,
Your new car
Is all you have,
And in that your white-skinned wife
Loves her college boy;

While the stupid, black mother
You broke,
Scrubs floors to keep
Her son.

College Girl

You spent every week-end
In all-night liquor parties with your “man”;
You spent the money your mother
Feared to borrow on her home,
Not on books, but on dresses
To make you the belle of fraternity dances.

And you didn’t learn a damned thing
Except the unnecessary tricks of loving,
And ten animalistic dances.

You will teach the Negro students farther south
What you learned.


Northern - College Girl

The chief thing
You learned from your northern training
Was how to be a sycophant with men,
And excuse your parasitism
By calling it love.

Now you teach high school in the week,
And wisely go to your “man” out of town
For the week-ends.

I pity you.
I know how often you’ve wished
You were dead,
When you faced
Your mother,
After those week-ends.

College Athlete

You spend your winters
Juggling basket-balls
And women.
You won’t work,
You won't study,
You won’t marry;

But you have four “letters”,
And a fraternity pin.

College education
Of a hundred like you every year
Will bring the race along rapidly.
",March,1928,The Crisis,W.E.B. Du Bois,Free verse,male,Incarceration,,New York,Predom. Black,https://en.wikipedia.org/wiki/Allison_Davis_(anthropologist)
