ID No.,Title,Description,Director,Genre,Year,Country of Origin,Language,Representation,Real/Fictional,Type of Violence,Where to Watch,Posters,Distribution 
1,Killers of the Flower Moon,"Real love crosses paths with unspeakable betrayal as Mollie Burkhart, a member of the Osage Nation, tries to save her community from a spree of murders fueled by oil and greed.",Martin Scorsese,Crime/Western Film,2023,USA,"English, Osage",Native American,Real,Gender & Ethnic: Physical,"Apple TV, Paramount",https://drive.google.com/file/d/19KTCjwlgecvTLx6FLjqSHkOgH10_-KSx/view?usp=share_link,Paramount Pictures                    Apple Original Films
2,The Invisible Man,"After staging his own suicide, a crazed scientist uses his power to become invisible to stalk and terrorize his ex-girlfriend. When the police refuse to believe her story, she decides to take matters into her own hands and fight back.",Leigh Whannell,Horror/Sci-Fi,2020,USA,English,Female ,Fictional,"Gender: Physical, Mental, Sexual","Peacock, Hulu",https://drive.google.com/file/d/1uPnsAD0gJn6H9Th5zH2HmTqIoX6EGAAp/view?usp=share_link,Universal Pictures
3,Promising Young Woman,"Nothing in Cassie's life is what it appears to be — she's wickedly smart, tantalizingly cunning, and she's living a secret double life by night. Now, an unexpected encounter is about to give Cassie a chance to right the wrongs from the past.",Emerald Fennell,Thriller/Crime,2020,USA,English,Female ,Fictional,"Gender: Mental, Sexual",Amazon Prime,https://drive.google.com/file/d/14n1dgNA02INoh9_6PefOqoMcJ8bOXnzU/view?usp=share_link,Focus Features           Universal Pictures    Sky Cinema              NOW
4,Under the Banner of Heaven,"As Detective Jeb Pyre investigates the murder of Brenda Wright Lafferty and her baby daughter in a suburb in the Salt Lake Valley, he uncovers buried truths about the origins of the LDS religion and the violent consequences of unyielding faith.",Dustin Lance Black,Crime,2022,USA,English,Religion,Real/Fictional,"Gender & Religious: Physical, Sexual",Hulu,https://drive.google.com/file/d/12bV1vGGyMhmLqEY6aBPhYMkcQzO9az0L/view?usp=share_link,Hulu 
5,Keep Sweet Pray and Obey,The rise of Warren Jeffs in the Fundamentalist Church of Jesus Christ of Latter-Day Saints and his criminal case.,Rachel Dretzin; Grace McNally,Documentary,2022,USA,English,Religion,Real,"Gender & Religious: Physical, Sexual, Mental","Amazon Prime, Netflix",https://drive.google.com/file/d/1IHzfgZXKjpBh5h4k2xewa1bPT8Xo6NZu/view?usp=share_link,Netflix 
6,Wanda,"Wanda is a wanderer in a dreary Rust Belt town, drifting from bars to motels, jobs to jobs and men to men. She's directionless and futureless, an aging beauty seen by men as usable and disposable. She hands over custody of her children because she knows they're better with their father. She eventually tags along with Norman Dennis, a petty criminal on the run. He's desperate, disreputable and abusive, but Wanda, meekly accepting her fate, still sleeps with him.",Barbara Loden,Crime/Indie Film,1970,USA,English,Female ,Real,"Gender: Physical, Mental, Sexual",Max,https://drive.google.com/file/d/1g7RQWDUodYVbqlJpqHiuvNiMgYnMaexT/view?usp=share_link,Bardene International Films
7,Ex Machina,"Caleb Smith a programmer at a huge Internet company, wins a contest that enables him to spend a week at the private estate of Nathan Bateman, his firm's brilliant CEO. When he arrives, Caleb learns that he has been chosen to be the human component in a Turing test to determine the capabilities and consciousness of Ava , a beautiful robot. However, it soon becomes evident that Ava is far more self-aware and deceptive than either man imagined.",Alex Garland,Sci-Fi/Thriller,2014,UK,English,Female,Fictional,"Gender: Physical, Sexual","Max, Hulu, Amazon Prime",https://drive.google.com/file/d/10m8_WPcoWVeXzTsPs7yAQYj_rL7wBtTz/view?usp=share_link,A24                              Universal Pictures International 
8,Screaming Queens: The Riot at Compton's Cafeteria,Transgender people fight against police harassment at Compton's Cafeteria riot in San Francisco's Tenderloin District in 1966.,Victor Silverman; Susan Stryker,Documentary/LGBTQ,2005,USA ,English,LGBTQ+,Real,"Gender: Physical, Transphobia",Kanopy,https://drive.google.com/file/d/1VOWOSB94-EJzN55h8dYASnNtPEj9NESh/view?usp=share_link,Amazon MGM Studios
9,The Birth of a Nation,"Two families, abolitionist Northerners the Stonemans and Southern landowners the Camerons, intertwine in director D.W. Griffith's controversial Civil War epic. When Confederate colonel Ben Cameron is captured in battle, nurse Elsie Stoneman petitions for his pardon. In Reconstruction-era South Carolina, Cameron founds the Ku Klux Klan, battling Elsie's congressman father and his African-American protégé, Silas Lynch.",D.W. Griffith,War/Romance,1915,USA ,English,Black,Real/Fictional,Ethnic: Physical & Racism,Kanopy,https://drive.google.com/file/d/1T3kvO24EycuPbTPCNEfuOTVq5-3Ub-o7/view?usp=share_link,Epoch Producing Co. 
10,The Virgin Suicides,"In an ordinary suburban house, on a lovely tree-lined street, in the middle of 1970s America, lived the five beautiful, dreamy Lisbon sisters, whose doomed fates indelibly marked the neighborhood boys who to this day continue to obsess over them. A story of love and repression, fantasy and terror, sex and death, memory and longing. It is at its core a mystery story: a heart-rending investigation into the impenetrable, life-altering secrets of American adolescence.",Sofia Coppola,Romance/Drama,1999,USA ,English,Female,Real/Fictional,"Gender: Mental, Physical","FuboTV, Hulu, Paramount+",https://drive.google.com/file/d/1NHKMEGPriaVd_pBAOU-hWJwZLJnZNn6l/view?usp=share_link,Paramount Pictures                    
