Image ID,Title,Primary Language,Year Published,Author(s),Author's Home Country,Publishing House,"Book, Article, Essay",Country Published,Nonfiction or Fiction,Topic,,,,,,,,,,,,,,
2666,"""2666""",Spanish,2004,Roberto Bolano,Chile,Anagrama,Book,Spain,Fiction,Misogyny/Crime/Mental illness,,,,,,,,,,,,,,
AH,Believing: our thirty year journey to end gender violence,English,2021,Anita Hill,US,Penguin Books,Book,US,Nonfiction,Gender violence/Intersectionality,,,,,,,,,,,,,,
LF,Bonderlands - La Frontera,Spanish and English,1987,"Gloria, Anzaldua",United States,Aunt Lute Books,Essay,US,Nonfiction,Intersectionality/Chicano Feminism,,,,,,,,,,,,,,
CM,Chicas Muertas,Spanish,2014,Selva Almada,,Literatura Random House,Essay,US,Nonfiction,Feminicide,,,,,,,,,,,,,,
CG,Coatilcue Girl,Spanish and English,2019,Gris Munoz,US/Mexico,Flowersong Books,Book,US,Fiction,Queer Chicana Narrative,,,,,,,,,,,,,,
DS,"Dead by Sunset: Perfect Husband, Perfect Killer?",English,1996,Ann Rule,,Pocket Books,Book,US,Nonfiction,Misogyny/Domestic Homicide,,,,,,,,,,,,,,
SEA,Dead Girls,Spanish and English,2020,Selva Almada,,Charco Press,Book,UK,Fiction,Gender violence/ Femicide,,,,,,,,,,,,,,
DB,Desert Blood,English,2005,Alicia Gaspar De Alba,US/Mexico,Arte Publico Press,Book,US,Fiction,Femicide/Identity/Border Culture,,,,,,,,,,,,,,
EIVDL ,El invencible verano de Liliana,Spanish,2021,Cristina Rivera Garza ,Mexico,Literatura Random House,Book,US,Nonfiction,Femicide,,,,,,,,,,,,,,
EK,"Exit, Persued by a Bear",English,2017,E.K. Johnston,Canada,Penguin Books,Book,UK,Fiction,Sexual Assault/Trauma Survival,,,,,,,,,,,,,,
SW,"Femicide Across Europe: Theory, Research, and Prevention",English,2018,Shalva Weil,Israel,Policy Press,Essay,UK,Nonfiction,Femicide,,,,,,,,,,,,,,
FGP,Femicide in Global Perspective,English,2001,Diana Russell,South Africa,Teachers College Press,Book,US,Nonfiction,Femicide,,,,,,,,,,,,,,
TPWK,Femicide: The Politics of Woman Killing,English,1992,"Diana Russell, Jill Radford","South Africa, N/A",Twayne Publishing,Book,US,Nonfiction,Femicide study,,,,,,,,,,,,,,
AH,Gender-Based Violence in Mexico ,Spanish and English,2023,Ana Luisa Sanchez Hernandez,,Routledge,Essay,UK,Nonfiction,Gender violence/Femicide,,,,,,,,,,,,,,
PP,Giving the Devil his Due,English,2021,The Pixel Project,,Running Wild Press,Book,US,Fiction,Gender violence,,,,,,,,,,,,,,
DWC,Grieving: Dispatches from a Wounded Country,Spanish and English,2011,Cristina Rivera Garza ,Mexico,The Feminist Press at CUNY,Book,US,Nonfiction,Systemic Violence,,,,,,,,,,,,,,
FM,Hurricane Season,Spanish and English,2020,Fernanda Melchor,Mexico,New Directions,Book,US,Fiction,Machismo Violence,,,,,,,,,,,,,,
RM,I Have Some Questions for You,English,2023,Rebecca Makkai,US,Penguin Books,Book,UK,Fiction,Intersectionality,,,,,,,,,,,,,,
DK,Industry of Magic & Light,English,2022,David Keenan,Scotland,Orion,Book,UK,Fiction,Feminicide/Gender violence,,,,,,,,,,,,,,
CM,Intimate Partner Violence,English,2009,Connie Mitchell,US,Oxford University Press,Article,UK,Nonfiction,Femicide,,,,,,,,,,,,,,
LL,La Lucha,Spanish and English,2015,Jon Sack,US/Mexico,Verso Books,Book,US,Nonfiction,Gender Violence/Borderlands,,,,,,,,,,,,,,
CRG,Liliana's Invincible Summer: A Sisters Search for Justice,English,2023,Cristina Rivera Garza,Mexico,Hogarth,Book,UK,Nonfiction,Gender violence/ Femicide,,,,,,,,,,,,,,
AG,"Making a Killing: Femicide, Free Trade, and La Frontera",Spanish and English,2021,Alicia Gaspar De Alba,US,University of Texas Press,Essay,US,Nonfiction,Chicano Feminism/Gender Violence,,,,,,,,,,,,,,
MMFG,Mi mama fue guerrillera,Spanish and English,2021,Ivonne Carlos,Mexico,Editorial Gafas Moradas,Book,Peru,Nonfiction,Borderlands/Systemic Opression,,,,,,,,,,,,,,
TP,Monstrous Regiment ,English,2004,Terry Prachet,England,HarperTorch,Book,US,Fiction,Gender Roles,,,,,,,,,,,,,,
AD,More or Less Dead: Femicide,English,2015,Alice Driver,US,University of Arizona Press,Essay,US,Nonfiction,Gender violence/Femicide,,,,,,,,,,,,,,
NOM,Not One More!,English,2019,Nina Maria Lozano,US/Mexico,Ohio State University Press,Book,US,Nonfiction,Feminicidio,,,,,,,,,,,,,,
LH,Researching Violence Against Women,English,2005,Lori Heise,,World Health Organization,Essay,Switzerland,Nonfiction,Womens Health/Domestic violence/Femicide,,,,,,,,,,,,,,
JF,Slow Death,English,2003,James Fielder,US ,Pinaccle ,Book,US,Nonfiction,Femicide,,,,,,,,,,,,,,
RT,"Stella Pope Duarte: ""If I die in Juarez"". The collapsed cooperation of two national Police Departments",English,2017,Rashida Thielhorn,Mexico,The German National Library,Essay,Germany,Nonfiction,Gender violence/Femcide,,,,,,,,,,,,,,
MO,Terrorizing Women,English,2010,Mercedes Olivera,,Duke University Press Books,Book,US,Nonfiction,Feminicide/Gender violence,,,,,,,,,,,,,,
SA,The Castleton Massacre: Survivors' stories of the Killins Femicide,English,2022,Sharon Anne Cook & Margaret Carson,,Dundurn Press,Book,Canada,Nonfiction,Femicide/Feminicide,,,,,,,,,,,,,,
TR,The Daughters of Juarez,Spanish and English,2007,Teresa Rodriguez,Mexico,Atria,Book,US,Nonfiction,Feminicidio,,,,,,,,,,,,,,
RV,The Daughters of Madurai,English,2023,Rajasree Variyar,India,Union Square & Co,Book,US,Fiction,Female Infanticide,,,,,,,,,,,,,,
RAP,The Dead Women of Juarez,English,2011,Sam Hawken,US,Serpent's Tail,Book,UK,Fiction,Femincidio,,,,,,,,,,,,,,
SR,The Femicide Machine,Spanish,2002,Sergio Rodriguez,Mexico,Semiotext,Essay,US,Nonfiction,Femicide,,,,,,,,,,,,,,
HR,The Five: The Untold Stories of the Women Killed by Jack the Ripper,Spanish,2019,Hallie Rubenhold ,US,Mariner Books,Book,US,Nonfiction,Femicide,,,,,,,,,,,,,,
