Assigned Stories: ,"Kiri: 3, 5, 6, 7, 11","Paris: 1, 2, 4, 8, 10 ",TBD: 9,,,,,,,,,,
ID (do not change this column!),Input Date,Place,"Fictional, Personal, or Real",Anecdote from the text,Page #,Latitude,Longitude,Literary Text,Author(s),Notes. etc.,Contributor(s),"Misc. Links, etc.",Keywords (5 Minimum)
,11.25.23,The El Paso Herald ,Real ,This is the name of the newspaper where the protaginist is interviewing for a job,"26, 29, 31",31.7938,-106.37702,Mystery of Survival,Alicia Gaspar de Alba,"Chapter #3: American Citizen, 1921",Kiri Avelar ,,
,11.25.23,Southern Pacific rail line ,Real ,"The protaginist imagines his father working as a conductor for this rail line, rather than layiing the tracks as a laborer",26,31.75973,-106.46821,Mystery of Survival,Alicia Gaspar de Alba,"Chapter #3: American Citizen, 1921",Kiri Avelar ,,
,11.25.23,El Paso High ,Real ,This is the high school where the protaginist graduated from ,"27, 28",31.77291,-106.49103,Mystery of Survival,Alicia Gaspar de Alba,"Chapter #3: American Citizen, 1921",Kiri Avelar ,,
,11.25.23,Five Points ,Real ,This is a piece of land that the protaginist's wife mentions could be given to them by her father if he can land this newspaper reporter job,27,31.78105,-106.45383,Mystery of Survival,Alicia Gaspar de Alba,"Chapter #3: American Citizen, 1921",Kiri Avelar ,,
,11.25.23,Chihuahuita ,Real ,A location referenced several times where the newspaper editor is hoping the protaginist can get storylines from to sell the newspaper,"28, 29, 30",31.75183,-106.48623,Mystery of Survival,Alicia Gaspar de Alba,"Chapter #3: American Citizen, 1921",Kiri Avelar ,,
,11.25.23,St. Patrick’s Cathedral   ,Real ,The protaginist mentions that he has a house near St. Patrick's Cathedral (downtown El Paso). This is said in opposition to the assumption from the editor in chief that the protaginist lives in Chihuahuita,29,"31.76601, ",-106.49323,Mystery of Survival,Alicia Gaspar de Alba,"Chapter #3: American Citizen, 1921",Kiri Avelar ,Image: https://drive.google.com/file/d/1NgkT9XcxQK6yGtxzYsGIh8iwIwO6K2Ev/view?usp=sharing ,
,11.25.23,The Red Canary ,,whorehouse where the main scene of the story takes place ,41,,,Mystery of Survival,Alicia Gaspar de Alba,Chapter #5: La Mariscal,Kiri Avelar ,,
,11.25.23,Sociology Department  ,,"This is the sociology department of the ""Harvard on the Border"" university",41,,,Mystery of Survival,Alicia Gaspar de Alba,Chapter #5: La Mariscal,Kiri Avelar ,,
,11.25.23,Mona Lisa Club ,,(strip show across the street from The Red Canary and the most popular brothel on the Mariscal),41,,,Mystery of Survival,Alicia Gaspar de Alba,Chapter #5: La Mariscal,Kiri Avelar ,,
,11.25.23,Boston ,Real ,,41,,,Mystery of Survival,Alicia Gaspar de Alba,Chapter #5: La Mariscal,Kiri Avelar ,,
,11.25.23,Combat Zone ,,(Boston?),41,,,Mystery of Survival,Alicia Gaspar de Alba,Chapter #5: La Mariscal,Kiri Avelar ,,
,11.25.23,“Harvard on the Border” university,,,41,,,Mystery of Survival,Alicia Gaspar de Alba,Chapter #5: La Mariscal,Kiri Avelar ,,
,11.25.23,the border ,Real ,Living on the border for 3 ½ years ,41,,,Mystery of Survival,Alicia Gaspar de Alba,Chapter #5: La Mariscal,Kiri Avelar ,,
,11.25.23,The pier of George’s Island,Real ,This location is mentioned in a letter that the protaginist writes to his ex; George's Island is in Boston,43,42.32,-70.92867,Mystery of Survival,Alicia Gaspar de Alba,Chapter #5: La Mariscal,Kiri Avelar ,,
,11.25.23,Chihuahua,Real ,Susana (Berta) says she's from Chihuahua when the protaginist insuates her promiscuity,44-45,,,Mystery of Survival,Alicia Gaspar de Alba,Chapter #5: La Mariscal,Kiri Avelar ,,
,11.25.23,A dream ,Real and Fictional ,“anoche te volvi a sonar” ,47,,,Mystery of Survival,Alicia Gaspar de Alba,Chapter #6: Los Derechos de la Malinche,Kiri Avelar ,,
,11.25.23,Table,Real and Fictional ,“tu estabas sentado en una mesa” ,47,,,Mystery of Survival,Alicia Gaspar de Alba,Chapter #6: Los Derechos de la Malinche,Kiri Avelar ,,
,11.25.23,airplane ,Real and Fictional ,The dream transformed into a plane with blue seats ,48,,,Mystery of Survival,Alicia Gaspar de Alba,Chapter #6: Los Derechos de la Malinche,Kiri Avelar ,,
,11.25.23,Las Vegas,Real and Fictional ,“pasaron veintiun anos antes de recibir la postal que me mandaste desde Las Vegas”,49,,,Mystery of Survival,Alicia Gaspar de Alba,Chapter #6: Los Derechos de la Malinche,Kiri Avelar ,,
