ID (do not change this column!),Input Date,Place,"Fictional, Personal, or Real",Anecdote from the text,Page #,Latitude,Longitude,Literary Text,Author(s),Notes. etc.,Contributor(s),"Misc. Links, etc.",Keywords (5 Minimum)
,Nov-16-2023,Yucatán,Real,"...this is where I come from,
the Yucatán, the ancient cities",34,20.400417,-89.134857,Woman Hollering Creek and Other Stories: One Holy Night,Sandra Cisneros,the regoin is mainly known for it's tropical rainforest and jungles as well as the home of the Mayan ruins,Genesis Esquilin,https://www.greatvaluevacations.com/travel-inspiration/mayan-ruins-in-mexico-yucatan-peninsula,
,Nov-16-2023,Mexico,Real,"...I wouldn’t have to be sent to
Mexico. But Uncle Lalo says if they had never left Mexico in the first
place, shame enough would have kept a girl from doing devil things.",35-35,23.6345,102.5528,Woman Hollering Creek and Other Stories: One Holy Night,Sandra Cisneros,,Genesis Esquilin,,
,Nov-16-2023,Allport Street ,Real,"I’m not saying I’m not bad. I’m not saying I’m special. But I’m not
like the Allport Street girls, who stand in doorways and go with men
into alleys.",35,41.85633,-87.657268,Woman Hollering Creek and Other Stories: One Holy Night,Sandra Cisneros,,Genesis Esquilin,,
,Nov-16-2023,Jewel food store,Personal,I’d park the pushcart in front of the Jewel food store Saturdays,35,,,Woman Hollering Creek and Other Stories: One Holy Night,Sandra Cisneros,This was where Ixchel would work and would see Boy Baby every Saturday,Genesis Esquilin,,
,Nov-16-2023,Esparza & Sons Auto Repair ,Fictional,"He lived behind Esparza & Sons Auto Repair in a little room that used to be a closet—pink plastic curtains on a narrow window, a dirty cot covered with newspapers, and a cardboard box filled with
socks and rusty tools.",36,,,Woman Hollering Creek and Other Stories: One Holy Night,Sandra Cisneros,,Genesis Esquilin,,
,Nov-16-2023,Temple of the Magician,Real,Then he told how he had prayed in the Temple of the Magician years ago as a child when his father had made him promise to bring back the ancient ways.,36,20.3608,89.7697,Woman Hollering Creek and Other Stories: One Holy Night,Sandra Cisneros,"In reality, it's call The Pyramid of the Magician (Pirámide Del Adivino)",Genesis Esquilin,https://en.wikipedia.org/wiki/Pyramid_of_the_Magician,
,Nov-16-2023,Lourdes’s house,Personal,"Then I understood why Abuelita didn’t let me sleep over at
Lourdes’s house full of too many brothers...",37,,,Woman Hollering Creek and Other Stories: One Holy Night,Sandra Cisneros,,Genesis Esquilin,,
,Nov-16-2023,Tampico,Real,"The third was addressed in a spidery Spanish to a Señor C. Cruz, on paper so thin you could read it unopened by the light of the sky. The return address a convent in Tampico.",39,22.2331,-97.861099,Woman Hollering Creek and Other Stories: One Holy Night,Sandra Cisneros,Ixchel was wondering of Boy Baby sent her any letters after he left her,Genesis Esquilin,https://www.britannica.com/place/Tampico-Mexico,
,Nov-16-2023,San Dionisio de Tlaltepango,Fictional,"...how they were going to send me to Mexico, to San Dionisio
de Tlaltepango, where I have cousins and where I was conceived
and would’ve been born had my grandma not thought it wise to
send my mother here to the United States so that neighbors in San
Dionisio de Tlaltepango wouldn’t ask why her belly was suddenly
big.",39,,,Woman Hollering Creek and Other Stories: One Holy Night,Sandra Cisneros,Ixchel's grandmother was thinking of sending her there so no one in the US wouls suspect she's pregnant,Genesis Esquilin,,
,Nov-16-2023,Miseria,Fictional,He was born on a street with no name in a town called Miseria,40,,,Woman Hollering Creek and Other Stories: One Holy Night,Sandra Cisneros,Ixchel got a letter talking about Boy baby's real identity,Genesis Esquilin,,
