ParkName,UnitCode,ParkType,Region,State,Year,Month,RecreationVisits,NonRecreationVisits,TentCampers,RVCampers,Backcountry
Acadia NP,ACAD,National Park,Northeast ,ME,1979,1,6011,15252,102,13,0
Acadia NP,ACAD,National Park,Northeast ,ME,1979,2,5243,13776,53,8,0
Acadia NP,ACAD,National Park,Northeast ,ME,1979,3,11165,15252,176,37,0
Acadia NP,ACAD,National Park,Northeast ,ME,1979,4,219351,37657,1037,459,0
Acadia NP,ACAD,National Park,Northeast ,ME,1979,5,339416,50616,3193,1148,0
Acadia NP,ACAD,National Park,Northeast ,ME,1979,6,543205,70776,23821,9819,0
Acadia NP,ACAD,National Park,Northeast ,ME,1979,7,383341,41071,42182,23243,0
Acadia NP,ACAD,National Park,Northeast ,ME,1979,8,466928,50028,45347,23665,0
Acadia NP,ACAD,National Park,Northeast ,ME,1979,9,320138,34300,22762,15276,0
Acadia NP,ACAD,National Park,Northeast ,ME,1979,10,300976,32246,676,422,0
Acadia NP,ACAD,National Park,Northeast ,ME,1979,11,183750,19687,215,176,0
Acadia NP,ACAD,National Park,Northeast ,ME,1979,12,7842,15252,144,13,0
Acadia NP,ACAD,National Park,Northeast ,ME,1980,1,8966,15252,15,2,0
Acadia NP,ACAD,National Park,Northeast ,ME,1980,2,8225,15252,9,5,0
Acadia NP,ACAD,National Park,Northeast ,ME,1980,3,7505,15252,50,11,0
Acadia NP,ACAD,National Park,Northeast ,ME,1980,4,182879,34578,1496,655,0
Acadia NP,ACAD,National Park,Northeast ,ME,1980,5,209301,37010,6300,1775,0
Acadia NP,ACAD,National Park,Northeast ,ME,1980,6,359552,50842,26456,8241,0
Acadia NP,ACAD,National Park,Northeast ,ME,1980,7,533885,68124,41259,26157,0
Acadia NP,ACAD,National Park,Northeast ,ME,1980,8,633067,77848,45912,23043,0
Acadia NP,ACAD,National Park,Northeast ,ME,1980,9,282636,45714,27142,12677,0
Acadia NP,ACAD,National Park,Northeast ,ME,1980,10,332937,51152,6240,3452,0
Acadia NP,ACAD,National Park,Northeast ,ME,1980,11,200461,37803,670,106,0
Acadia NP,ACAD,National Park,Northeast ,ME,1980,12,20252,44602,155,0,0
Acadia NP,ACAD,National Park,Northeast ,ME,1981,1,23330,78915,98,40,0
Acadia NP,ACAD,National Park,Northeast ,ME,1981,2,16207,68606,127,74,0
Acadia NP,ACAD,National Park,Northeast ,ME,1981,3,21923,92285,512,126,0
Acadia NP,ACAD,National Park,Northeast ,ME,1981,4,188071,35173,1660,418,0
Acadia NP,ACAD,National Park,Northeast ,ME,1981,5,212500,23258,8754,1603,0
Acadia NP,ACAD,National Park,Northeast ,ME,1981,6,366518,15252,27320,8519,0
Acadia NP,ACAD,National Park,Northeast ,ME,1981,7,545981,15252,41874,26452,0
Acadia NP,ACAD,National Park,Northeast ,ME,1981,8,616233,15252,46370,22447,0
Acadia NP,ACAD,National Park,Northeast ,ME,1981,9,463823,15252,33346,12653,0
Acadia NP,ACAD,National Park,Northeast ,ME,1981,10,313788,15252,5799,3715,0
Acadia NP,ACAD,National Park,Northeast ,ME,1981,11,203741,15252,426,188,0
Acadia NP,ACAD,National Park,Northeast ,ME,1981,12,25857,15252,271,74,0
