rank,rating_rank,num_rating_rank,author,title,pub_year,orig_lang,gr_avg_rating,gr_num_ratings,gr_num_reviews,oclc_marc_url,wiki_url,gr_url,pg_eng_url,pg_orig_url
1,318,211,Miguel de Cervantes,Don Quixote,1605,Spanish,3.9,"269,435","12,053",https://www.worldcat.org/title/don-quixote/oclc/1020679308,https://en.wikipedia.org/wiki/Don_Quixote,https://www.goodreads.com/book/show/3836.Don_Quixote?from_search=true&from_srp=true&qid=Npjwg6DCCM&rank=1,https://www.gutenberg.org/cache/epub/996/pg996.txt,https://www.gutenberg.org/cache/epub/2000/pg2000.txt
2,172,133,Lewis Carroll,Alice's Adventures in Wonderland,1865,English,4.06,"561,016","15,380",https://www.worldcat.org/title/alices-adventures-in-wonderland/oclc/1023201734,https://en.wikipedia.org/wiki/Alice%27s_Adventures_in_Wonderland,https://www.goodreads.com/book/show/24213.Alice_s_Adventures_in_Wonderland_Through_the_Looking_Glass?from_search=true&from_srp=true&qid=rbCacLxvKx&rank=1,https://www.gutenberg.org/cache/epub/11/pg11.txt,NA
3,373,68,Mark Twain,The Adventures of Huckleberry Finn,1884,English,3.83,"1,262,480","19,440",https://www.worldcat.org/oclc/46792816,https://en.wikipedia.org/wiki/Adventures_of_Huckleberry_Finn,https://www.goodreads.com/book/show/2956.The_Adventures_of_Huckleberry_Finn?from_search=true&from_srp=true&qid=lTplsbK1Jk&rank=2,https://www.gutenberg.org/cache/epub/76/pg76.txt,NA
4,301,88,Mark Twain,The Adventures of Tom Sawyer,1876,English,3.92,"931,898","13,603",http://www.worldcat.org/title/adventures-of-tom-sawyer/oclc/55947995,https://en.wikipedia.org/wiki/The_Adventures_of_Tom_Sawyer,https://www.goodreads.com/book/show/24583.The_Adventures_of_Tom_Sawyer?from_search=true&from_srp=true&qid=9VcOB7x62W&rank=1,https://www.gutenberg.org/cache/epub/74/pg74.txt,NA
5,368,145,Robert Louis Stevenson,Treasure Island,1883,English,3.84,"486,155","16,307",https://www.worldcat.org/oclc/7551075,https://en.wikipedia.org/wiki/Treasure_Island,https://www.goodreads.com/book/show/295.Treasure_Island?from_search=true&from_srp=true&qid=iUWx7VMfKk&rank=1,https://www.gutenberg.org/cache/epub/120/pg120.txt,NA
6,34,8,Jane Austen,Pride and Prejudice,1813,English,4.29,"4,239,555","113,241",http://www.worldcat.org/title/pride-and-prejudice/oclc/32050898,https://en.wikipedia.org/wiki/Pride_and_Prejudice,https://www.goodreads.com/book/show/1885.Pride_and_Prejudice?from_search=true&from_srp=true&qid=YfouvjieOf&rank=1,https://www.gutenberg.org/cache/epub/1342/pg1342.txt,NA
7,326,46,Emily Brontë,Wuthering Heights,1847,English,3.89,"1,793,015","61,175",http://www.worldcat.org/title/wuthering-heights/oclc/34125389,https://en.wikipedia.org/wiki/Wuthering_Heights,https://www.goodreads.com/book/show/6185.Wuthering_Heights?from_search=true&from_srp=true&qid=Ls52Sag11l&rank=1,https://www.gutenberg.org/cache/epub/768/pg768.txt,NA
8,99,40,Charlotte Brontë,Jane Eyre,1847,English,4.15,"2,084,999","64,277",http://www.worldcat.org/title/jane-eyre/oclc/24216290,https://en.wikipedia.org/wiki/Jane_Eyre,https://www.goodreads.com/book/show/10210.Jane_Eyre?from_search=true&from_srp=true&qid=69NNTGE2Ph&rank=1,https://www.gutenberg.org/cache/epub/1260/pg1260.txt,NA
9,481,134,Herman Melville,Moby Dick,1851,English,3.54,"557,743","22,513",https://www.worldcat.org/oclc/20390702,https://en.wikipedia.org/wiki/Moby-Dick,https://www.goodreads.com/book/show/153747.Moby_Dick_or_The_Whale?ref=nav_sb_ss_1_9,https://www.gutenberg.org/cache/epub/2701/pg2701.txt,NA
10,493,95,Nathaniel Hawthorne,The Scarlet Letter,1850,English,3.43,"862,399","20,214",http://www.worldcat.org/title/scarlet-letter-complete-authoritative-text-with-biographical-background-and-critical-history-plus-essays-from-five-contemporary-critical-perspectives-with-introductions-and-bibliographies/oclc/23034506,https://en.wikipedia.org/wiki/The_Scarlet_Letter,https://www.goodreads.com/book/show/12296.The_Scarlet_Letter?ref=nav_sb_ss_1_18,https://www.gutenberg.org/cache/epub/25344/pg25344.txt,NA
11,477,208,Jonathan Swift,Gulliver's Travels,1726,English,3.58,"272,891","7,528",http://www.worldcat.org/title/gullivers-travels/oclc/24065589,https://en.wikipedia.org/wiki/Gulliver%27s_Travels,https://www.goodreads.com/book/show/7733.Gulliver_s_Travels?ref=nav_sb_ss_1_18,https://www.gutenberg.org/cache/epub/829/pg829.txt,NA
12,177,278,John Bunyan,The Pilgrim's Progress,1678,English,4.05,"137,395","4,644",https://www.worldcat.org/oclc/353427,https://en.wikipedia.org/wiki/The_Pilgrim%27s_Progress,https://www.goodreads.com/book/show/29797.The_Pilgrim_s_Progress?from_search=true&from_srp=true&qid=3nXmE324BM&rank=1,https://www.gutenberg.org/cache/epub/131/pg131.txt,NA
13,157,98,Charles Dickens,A Christmas Carol,1843,English,4.08,"838,828","31,968",https://www.worldcat.org/oclc/270129693,https://en.wikipedia.org/wiki/A_Christmas_Carol,https://www.goodreads.com/book/show/5326.A_Christmas_Carol?from_search=true&from_srp=true&qid=PC8NRaRnFL&rank=1,https://www.gutenberg.org/cache/epub/46/pg46.txt,NA
14,194,228,Charles Dickens,David Copperfield,1850,English,4.03,"237,403","9,833",http://www.worldcat.org/title/charles-dickenss-david-copperfield/oclc/15083320,https://en.wikipedia.org/wiki/David_Copperfield,https://www.goodreads.com/book/show/58696.David_Copperfield?from_search=true&from_srp=true&qid=SqkF9mVGUk&rank=1,https://www.gutenberg.org/cache/epub/766/pg766.txt,NA
15,342,86,Charles Dickens,A Tale of Two Cities,1859,English,3.87,"943,466","23,243",http://www.worldcat.org/title/tale-of-two-cities/oclc/22267016,https://en.wikipedia.org/wiki/A_Tale_of_Two_Cities,https://www.goodreads.com/book/show/1953.A_Tale_of_Two_Cities?ref=nav_sb_ss_1_20,https://www.gutenberg.org/cache/epub/98/pg98.txt,NA
16,100,38,Louisa May Alcott,Little Women,1868,English,4.15,"2,218,654","50,769",https://www.worldcat.org/oclc/1157,https://en.wikipedia.org/wiki/Little_Women,https://www.goodreads.com/book/show/1934.Little_Women?from_search=true&from_srp=true&qid=KL7XlkIgEY&rank=1,https://www.gutenberg.org/cache/epub/37106/pg37106.txt,NA
17,397,103,Charles Dickens,Great Expectations,1861,English,3.79,"798,588","21,978",http://www.worldcat.org/title/great-expectations/oclc/24503388,https://en.wikipedia.org/wiki/Great_Expectations,https://www.goodreads.com/book/show/2623.Great_Expectations?ref=nav_sb_ss_1_18,https://www.gutenberg.org/cache/epub/1400/pg1400.txt,NA
18,35,10,J.R.R. Tolkien,"The Hobbit, or, There and Back Again",1937,English,4.29,"3,941,429","70,212",https://www.worldcat.org/title/hobbit-or-there-and-back-again/oclc/960727506?referer=di&ht=edition,https://en.wikipedia.org/wiki/The_Hobbit,https://www.goodreads.com/book/show/437049.The_Hobbit_or_There_and_Back_Again?from_search=true&from_srp=true&qid=O4psAw3Arv&rank=1,NA_not-pub-domain,NA
19,343,54,Mary Shelley,"Frankenstein, or, the Modern Prometheus",1818,English,3.87,"1,585,172","61,660",https://www.worldcat.org/oclc/10507358,https://en.wikipedia.org/wiki/Frankenstein,https://www.goodreads.com/book/show/18488.Frankenstein_or_the_Modern_Prometheus?ref=nav_sb_ss_1_39,https://www.gutenberg.org/cache/epub/84/pg84.txt,NA
20,331,169,Charles Dickens,Oliver Twist,1838,English,3.88,"386,350","10,633",http://www.worldcat.org/title/oliver-twist/oclc/7535257,https://en.wikipedia.org/wiki/Oliver_Twist,https://www.goodreads.com/book/show/18254.Oliver_Twist?ref=nav_sb_ss_1_12,https://www.gutenberg.org/cache/epub/730/pg730.txt,NA
21,319,230,Harriet Beecher Stowe,Uncle Tom's Cabin,1852,English,3.9,"226,482","9,800",http://www.worldcat.org/title/uncle-toms-cabin/oclc/32441254,https://en.wikipedia.org/wiki/Uncle_Tom%27s_Cabin,https://www.goodreads.com/book/show/46787.Uncle_Tom_s_Cabin?ref=nav_sb_ss_1_17,https://www.gutenberg.org/cache/epub/203/pg203.txt,NA
22,43,94,Fyodor Dostoyevsky,Crime and Punishment,1866,Russian,4.27,"894,492","35,710",https://www.worldcat.org/oclc/373996,https://en.wikipedia.org/wiki/Crime_and_Punishment,https://www.goodreads.com/book/show/7144.Crime_and_Punishment?ref=nav_sb_ss_1_20,https://www.gutenberg.org/cache/epub/2554/pg2554.txt,unavailable
23,435,182,Gustave Flaubert,Madame Bovary: Patterns of Provincial life,1857,French,3.7,"332,461","16,153",http://www.worldcat.org/title/madame-bovary/oclc/32534533,https://en.wikipedia.org/wiki/Madame_Bovary,https://www.goodreads.com/book/show/357469.Madame_Bovary?ref=nav_sb_ss_1_42,https://www.gutenberg.org/cache/epub/2413/pg2413.txt,https://www.gutenberg.org/cache/epub/14155/pg14155.txt
24,5,93,J.R.R. Tolkien,The Return of the King,1955,English,4.56,"896,361","18,133",https://www.worldcat.org/oclc/11079199,https://en.wikipedia.org/wiki/The_Return_of_the_King,https://www.goodreads.com/book/show/61215384-the-return-of-the-king?ref=nav_sb_ss_1_22,NA_not-pub-domain,NA
25,211,67,Bram Stoker,Dracula,1897,English,4.01,"1,266,607","45,632",http://www.worldcat.org/title/new-annotated-dracula/oclc/227016511,https://en.wikipedia.org/wiki/Dracula,https://www.goodreads.com/book/show/17245.Dracula?ref=nav_sb_ss_1_7,https://www.gutenberg.org/cache/epub/345/pg345.txt,NA
