Creator,Checkouts,Titles
J.K. Rowling,145161,7
Suzanne Collins,67500,3
Jane Austen,53731,5
J.R.R. Tolkien,52374,5
Stieg Larsson,45227,3
Stephen King,39926,7
Charles Dickens,37749,15
Stephenie Meyer,37370,2
Gillian Flynn,35366,1
John Grisham,33372,19
Margaret Atwood,33240,1
Lois Lowry,32798,2
Philip Pullman,32775,3
Rick Riordan,32415,2
Markus Zusak,30549,1
Roald Dahl,30311,4
C.S. Lewis,29119,8
Dan Brown,27981,5
John Steinbeck,27086,8
Paula Hawkins,26610,1
Toni Morrison,26276,4
Madeleine L'Engle,24762,1
Harper Lee,24708,2
Beverly Cleary,23903,5
John Green,23813,3
Laura Ingalls Wilder,23789,7
Agatha Christie,19640,3
Khaled Hosseini,19164,2
Ernest Hemingway,18818,5
Leo Tolstoy,18751,4
Gabriel García Márquez,17544,3
Kathryn Stockett,17499,1
Ransom Riggs,17183,1
Kate DiCamillo,16897,3
Neil Gaiman,16597,2
L.M. Montgomery,16538,3
F. Scott Fitzgerald,16326,3
Ray Bradbury,16234,2
E.B. White,15777,3
Mark Twain,15086,4
Nicholas Sparks,14918,7
James Dashner,14050,1
George Orwell,13755,2
Kurt Vonnegut,13282,2
Ken Follett,13228,1
Alexandre Dumas,13189,3
Paulo Coelho,12686,1
Louisa May Alcott,12633,1
Douglas Adams,12598,1
Jeff Kinney,12503,2
Aldous Huxley,12129,1
Sherman Alexie,11867,1
Cormac McCarthy,11372,1
James Patterson,10694,5
Jack London,10506,3
P.L. Travers,10245,1
Orson Scott Card,10194,1
Jules Verne,10113,4
George Eliot,9873,4
Sara Gruen,9745,1
Herman Melville,9607,1
Eoin Colfer,9434,1
Lewis Carroll,9420,2
David Baldacci,9388,2
Christopher Paolini,9344,1
Robert Louis Stevenson,9135,4
Virginia Woolf,9112,3
Albert Camus,9060,3
William Faulkner,9055,4
Judy Blume,9050,2
Yann Martel,8823,1
Ayn Rand,8725,2
George R.R. Martin,8448,1
Edith Wharton,8396,3
James Joyce,8325,3
Kazuo Ishiguro,8287,1
Willa Cather,8284,3
Hermann Hesse,8112,2
Mary Shelley,8044,1
Gary Paulsen,7794,1
Mark Haddon,7730,1
Bram Stoker,7617,1
Joseph Conrad,7588,4
Emma Donoghue,7576,1
Kenneth Grahame,7481,1
Norton Juster,7258,1
J.D. Salinger,7257,1
Oscar Wilde,7197,1
Miguel de Cervantes,7123,1
E.M. Forster,7086,3
Zora Neale Hurston,7031,1
Daphne Du Maurier,6921,1
Louis Sachar,6876,1
Jean Craighead George,6807,2
Charlotte Brontë,6740,3
H.G. Wells,6656,3
Thomas Hardy,6636,5
Isabel Allende,6626,2
Arundhati Roy,6619,1
Victor Hugo,6539,2
Audrey Niffenegger,6408,1
William Golding,6237,1
Rebecca Stead,6222,1
Joseph Heller,6206,1
Astrid Lindgren,6195,1
Franz Kafka,6191,3
L. Frank Baum,6138,1
Susan Cooper,5960,2
Frances Hodgson Burnett,5916,1
Richard Adams,5897,1
Betty Smith,5839,1
Mikhail Bulgakov,5803,1
Cornelia Funke,5753,2
Fyodor Dostoyevsky,5713,2
Truman Capote,5647,2
Emily Brontë,5515,1
Wilkie Collins,5482,2
Chinua Achebe,5420,1
Jack Kerouac,5416,1
Henry James,5301,4
Barbara Kingsolver,5221,1
D.H. Lawrence,5134,4
Alice Walker,5126,1
Sylvia Plath,5092,1
Ralph Ellison,5080,1
Katherine Paterson,4982,2
Ian McEwan,4918,1
