author,year-month,checkouts,num_titles,author_gender,author_nationality
Agatha Christie,2006-01-01,4,1,female,GB
Agatha Christie,2006-02-01,3,1,female,GB
Agatha Christie,2006-03-01,2,1,female,GB
Agatha Christie,2006-04-01,2,1,female,GB
Agatha Christie,2006-05-01,2,1,female,GB
Agatha Christie,2006-06-01,4,1,female,GB
Agatha Christie,2006-07-01,4,1,female,GB
Agatha Christie,2006-08-01,4,1,female,GB
Agatha Christie,2006-09-01,2,1,female,GB
Agatha Christie,2006-10-01,2,1,female,GB
Agatha Christie,2006-12-01,2,1,female,GB
Agatha Christie,2007-01-01,3,1,female,GB
Agatha Christie,2007-02-01,6,3,female,GB
Agatha Christie,2007-03-01,3,2,female,GB
Agatha Christie,2007-04-01,10,3,female,GB
Agatha Christie,2007-05-01,15,3,female,GB
Agatha Christie,2007-06-01,7,3,female,GB
Agatha Christie,2007-07-01,8,3,female,GB
Agatha Christie,2007-08-01,8,2,female,GB
Agatha Christie,2007-09-01,10,2,female,GB
Agatha Christie,2007-10-01,7,2,female,GB
Agatha Christie,2007-11-01,4,2,female,GB
Agatha Christie,2007-12-01,9,2,female,GB
Agatha Christie,2008-01-01,8,3,female,GB
Agatha Christie,2008-02-01,12,3,female,GB
Agatha Christie,2008-03-01,11,3,female,GB
Agatha Christie,2008-04-01,7,3,female,GB
Agatha Christie,2008-05-01,12,3,female,GB
Agatha Christie,2008-06-01,12,3,female,GB
Agatha Christie,2008-07-01,10,3,female,GB
Agatha Christie,2008-08-01,9,3,female,GB
Agatha Christie,2008-09-01,12,3,female,GB
Agatha Christie,2008-10-01,10,3,female,GB
Agatha Christie,2008-11-01,8,3,female,GB
Agatha Christie,2008-12-01,10,3,female,GB
Agatha Christie,2009-01-01,8,3,female,GB
Agatha Christie,2009-02-01,8,3,female,GB
Agatha Christie,2009-03-01,11,3,female,GB
Agatha Christie,2009-04-01,10,3,female,GB
Agatha Christie,2009-05-01,12,3,female,GB
Agatha Christie,2009-06-01,13,3,female,GB
Agatha Christie,2009-07-01,11,3,female,GB
Agatha Christie,2009-08-01,12,3,female,GB
Agatha Christie,2009-09-01,9,3,female,GB
Agatha Christie,2009-10-01,13,3,female,GB
Agatha Christie,2009-11-01,13,3,female,GB
Agatha Christie,2009-12-01,12,3,female,GB
Agatha Christie,2010-01-01,12,3,female,GB
Agatha Christie,2010-02-01,14,3,female,GB
Agatha Christie,2010-03-01,14,3,female,GB
Agatha Christie,2010-04-01,11,3,female,GB
Agatha Christie,2010-05-01,13,3,female,GB
Agatha Christie,2010-06-01,14,3,female,GB
Agatha Christie,2010-07-01,21,3,female,GB
Agatha Christie,2010-08-01,25,3,female,GB
Agatha Christie,2010-09-01,15,3,female,GB
Agatha Christie,2010-10-01,11,3,female,GB
Agatha Christie,2010-11-01,16,3,female,GB
Agatha Christie,2010-12-01,16,3,female,GB
Agatha Christie,2011-01-01,14,3,female,GB
Agatha Christie,2011-02-01,15,3,female,GB
Agatha Christie,2011-03-01,17,3,female,GB
Agatha Christie,2011-04-01,10,3,female,GB
Agatha Christie,2011-05-01,17,3,female,GB
Agatha Christie,2011-06-01,16,3,female,GB
Agatha Christie,2011-07-01,18,3,female,GB
Agatha Christie,2011-08-01,18,3,female,GB
Agatha Christie,2011-09-01,18,3,female,GB
Agatha Christie,2011-10-01,20,3,female,GB
Agatha Christie,2011-11-01,23,3,female,GB
Agatha Christie,2011-12-01,30,3,female,GB
Agatha Christie,2012-01-01,16,3,female,GB
Agatha Christie,2012-02-01,19,3,female,GB
Agatha Christie,2012-03-01,24,3,female,GB
Agatha Christie,2012-04-01,16,3,female,GB
Agatha Christie,2012-05-01,26,3,female,GB
Agatha Christie,2012-06-01,21,3,female,GB
Agatha Christie,2012-07-01,20,3,female,GB
Agatha Christie,2012-08-01,25,3,female,GB
Agatha Christie,2012-09-01,28,3,female,GB
Agatha Christie,2012-10-01,17,3,female,GB
Agatha Christie,2012-11-01,22,3,female,GB
Agatha Christie,2012-12-01,23,3,female,GB
Agatha Christie,2013-01-01,21,3,female,GB
Agatha Christie,2013-02-01,23,3,female,GB
Agatha Christie,2013-03-01,24,3,female,GB
Agatha Christie,2013-04-01,18,3,female,GB
Agatha Christie,2013-05-01,16,3,female,GB
Agatha Christie,2013-06-01,25,3,female,GB
Agatha Christie,2013-07-01,24,3,female,GB
Agatha Christie,2013-08-01,30,3,female,GB
Agatha Christie,2013-09-01,23,3,female,GB
Agatha Christie,2013-10-01,28,3,female,GB
Agatha Christie,2013-11-01,30,3,female,GB
Agatha Christie,2013-12-01,31,3,female,GB
Agatha Christie,2014-01-01,34,3,female,GB
Agatha Christie,2014-02-01,35,3,female,GB
Agatha Christie,2014-03-01,27,3,female,GB
Agatha Christie,2014-04-01,31,3,female,GB
Agatha Christie,2014-05-01,28,3,female,GB
Agatha Christie,2014-06-01,33,3,female,GB
Agatha Christie,2014-07-01,34,3,female,GB
Agatha Christie,2014-08-01,34,3,female,GB
Agatha Christie,2014-09-01,37,3,female,GB
Agatha Christie,2014-10-01,29,3,female,GB
Agatha Christie,2014-11-01,35,3,female,GB
Agatha Christie,2014-12-01,37,3,female,GB
Agatha Christie,2015-01-01,28,3,female,GB
Agatha Christie,2015-02-01,30,3,female,GB
Agatha Christie,2015-03-01,39,3,female,GB
Agatha Christie,2015-04-01,37,3,female,GB
Agatha Christie,2015-05-01,41,3,female,GB
Agatha Christie,2015-06-01,36,3,female,GB
Agatha Christie,2015-07-01,37,3,female,GB
Agatha Christie,2015-08-01,43,3,female,GB
Agatha Christie,2015-09-01,38,3,female,GB
Agatha Christie,2015-10-01,39,3,female,GB
Agatha Christie,2015-11-01,40,3,female,GB
Agatha Christie,2015-12-01,34,3,female,GB
Agatha Christie,2016-01-01,45,3,female,GB
Agatha Christie,2016-02-01,37,3,female,GB
Agatha Christie,2016-03-01,45,3,female,GB
Agatha Christie,2016-04-01,44,3,female,GB
Agatha Christie,2016-05-01,42,3,female,GB
Agatha Christie,2016-06-01,42,3,female,GB
Agatha Christie,2016-07-01,47,3,female,GB
Agatha Christie,2016-08-01,62,3,female,GB
Agatha Christie,2016-09-01,47,3,female,GB
Agatha Christie,2016-10-01,50,3,female,GB
Agatha Christie,2016-11-01,59,3,female,GB
Agatha Christie,2016-12-01,49,3,female,GB
Agatha Christie,2017-01-01,58,3,female,GB
Agatha Christie,2017-02-01,47,3,female,GB
Agatha Christie,2017-03-01,52,3,female,GB
Agatha Christie,2017-04-01,56,3,female,GB
Agatha Christie,2017-05-01,56,3,female,GB
Agatha Christie,2017-06-01,55,3,female,GB
Agatha Christie,2017-07-01,68,3,female,GB
Agatha Christie,2017-08-01,106,3,female,GB
Agatha Christie,2017-09-01,71,3,female,GB
Agatha Christie,2017-10-01,88,3,female,GB
Agatha Christie,2017-11-01,159,3,female,GB
Agatha Christie,2017-12-01,213,3,female,GB
Agatha Christie,2018-01-01,226,3,female,GB
Agatha Christie,2018-02-01,202,3,female,GB
Agatha Christie,2018-03-01,214,3,female,GB
Agatha Christie,2018-04-01,219,3,female,GB
Agatha Christie,2018-05-01,202,3,female,GB
Agatha Christie,2018-06-01,189,3,female,GB
Agatha Christie,2018-07-01,223,3,female,GB
Agatha Christie,2018-08-01,202,3,female,GB
Agatha Christie,2018-09-01,201,3,female,GB
Agatha Christie,2018-10-01,219,3,female,GB
Agatha Christie,2018-11-01,189,3,female,GB
Agatha Christie,2018-12-01,199,3,female,GB
Agatha Christie,2019-01-01,184,3,female,GB
Agatha Christie,2019-02-01,156,3,female,GB
Agatha Christie,2019-03-01,143,3,female,GB
Agatha Christie,2019-04-01,152,3,female,GB
Agatha Christie,2019-05-01,123,3,female,GB
Agatha Christie,2019-06-01,132,3,female,GB
Agatha Christie,2019-07-01,150,3,female,GB
Agatha Christie,2019-08-01,149,3,female,GB
Agatha Christie,2019-09-01,143,3,female,GB
Agatha Christie,2019-10-01,144,3,female,GB
Agatha Christie,2019-11-01,131,3,female,GB
Agatha Christie,2019-12-01,157,3,female,GB
Agatha Christie,2020-01-01,169,3,female,GB
Agatha Christie,2020-02-01,137,3,female,GB
Agatha Christie,2020-03-01,137,3,female,GB
Agatha Christie,2020-04-01,122,3,female,GB
Agatha Christie,2020-05-01,149,3,female,GB
Agatha Christie,2020-06-01,128,3,female,GB
Agatha Christie,2020-07-01,137,3,female,GB
Agatha Christie,2020-08-01,140,3,female,GB
Agatha Christie,2020-09-01,132,3,female,GB
Agatha Christie,2020-10-01,158,3,female,GB
Agatha Christie,2020-11-01,157,3,female,GB
Agatha Christie,2020-12-01,165,3,female,GB
Agatha Christie,2021-01-01,154,3,female,GB
Agatha Christie,2021-02-01,146,3,female,GB
Agatha Christie,2021-03-01,200,3,female,GB
Agatha Christie,2021-04-01,161,3,female,GB
Agatha Christie,2021-05-01,173,3,female,GB
Agatha Christie,2021-06-01,187,3,female,GB
Agatha Christie,2021-07-01,174,3,female,GB
Agatha Christie,2021-08-01,197,3,female,GB
Agatha Christie,2021-09-01,145,3,female,GB
Agatha Christie,2021-10-01,141,3,female,GB
Agatha Christie,2021-11-01,146,3,female,GB
Agatha Christie,2021-12-01,166,3,female,GB
Agatha Christie,2022-01-01,205,3,female,GB
Agatha Christie,2022-02-01,192,3,female,GB
Agatha Christie,2022-03-01,214,3,female,GB
Agatha Christie,2022-04-01,161,3,female,GB
Agatha Christie,2022-05-01,209,3,female,GB
Agatha Christie,2022-06-01,185,3,female,GB
Agatha Christie,2022-07-01,206,3,female,GB
Agatha Christie,2022-08-01,187,3,female,GB
Agatha Christie,2022-09-01,199,3,female,GB
Agatha Christie,2022-10-01,194,3,female,GB
Agatha Christie,2022-11-01,183,3,female,GB
Agatha Christie,2022-12-01,220,3,female,GB
Agatha Christie,2023-01-01,191,3,female,GB
Agatha Christie,2023-02-01,173,3,female,GB
Agatha Christie,2023-03-01,218,3,female,GB
Agatha Christie,2023-04-01,185,3,female,GB
Agatha Christie,2023-05-01,185,3,female,GB
Agatha Christie,2023-06-01,189,3,female,GB
Agatha Christie,2023-07-01,198,3,female,GB
Agatha Christie,2023-08-01,186,3,female,GB
Agatha Christie,2023-09-01,204,3,female,GB
Agatha Christie,2023-10-01,213,3,female,GB
Agatha Christie,2023-11-01,243,3,female,GB
Agatha Christie,2023-12-01,232,3,female,GB
Agatha Christie,2024-01-01,225,3,female,GB
Agatha Christie,2024-02-01,217,3,female,GB
Agatha Christie,2024-03-01,223,3,female,GB
Agatha Christie,2024-04-01,216,3,female,GB
Agatha Christie,2024-07-01,184,3,female,GB
Agatha Christie,2024-08-01,239,3,female,GB
Agatha Christie,2024-09-01,248,3,female,GB
Agatha Christie,2024-10-01,279,3,female,GB
Agatha Christie,2024-11-01,260,3,female,GB
Agatha Christie,2024-12-01,431,3,female,GB
Agatha Christie,2025-01-01,380,3,female,GB
Agatha Christie,2025-02-01,240,3,female,GB
Alan Paton,2006-01-01,5,1,male,ZA
Alan Paton,2006-02-01,8,1,male,ZA
Alan Paton,2006-03-01,5,1,male,ZA
Alan Paton,2006-04-01,4,1,male,ZA
Alan Paton,2006-05-01,4,1,male,ZA
Alan Paton,2006-06-01,9,1,male,ZA
Alan Paton,2006-07-01,8,1,male,ZA
Alan Paton,2006-08-01,4,1,male,ZA
Alan Paton,2006-09-01,6,1,male,ZA
Alan Paton,2006-10-01,4,1,male,ZA
Alan Paton,2006-11-01,6,1,male,ZA
Alan Paton,2006-12-01,9,1,male,ZA
Alan Paton,2007-01-01,3,1,male,ZA
Alan Paton,2007-02-01,2,1,male,ZA
Alan Paton,2007-03-01,3,1,male,ZA
Alan Paton,2007-04-01,4,1,male,ZA
Alan Paton,2007-05-01,7,1,male,ZA
Alan Paton,2007-06-01,4,1,male,ZA
Alan Paton,2007-07-01,9,1,male,ZA
Alan Paton,2007-08-01,6,1,male,ZA
Alan Paton,2007-09-01,7,1,male,ZA
Alan Paton,2007-10-01,6,1,male,ZA
Alan Paton,2007-11-01,5,1,male,ZA
Alan Paton,2007-12-01,9,1,male,ZA
Alan Paton,2008-01-01,10,1,male,ZA
Alan Paton,2008-02-01,8,1,male,ZA
Alan Paton,2008-03-01,2,1,male,ZA
Alan Paton,2008-04-01,4,1,male,ZA
Alan Paton,2008-05-01,3,1,male,ZA
Alan Paton,2008-06-01,5,1,male,ZA
Alan Paton,2008-07-01,8,1,male,ZA
Alan Paton,2008-08-01,9,1,male,ZA
Alan Paton,2008-09-01,15,1,male,ZA
Alan Paton,2008-10-01,6,1,male,ZA
Alan Paton,2008-11-01,5,1,male,ZA
Alan Paton,2008-12-01,6,1,male,ZA
Alan Paton,2009-01-01,4,1,male,ZA
Alan Paton,2009-02-01,6,1,male,ZA
Alan Paton,2009-03-01,6,1,male,ZA
Alan Paton,2009-04-01,2,1,male,ZA
Alan Paton,2009-05-01,2,1,male,ZA
Alan Paton,2009-06-01,5,1,male,ZA
Alan Paton,2009-07-01,7,1,male,ZA
Alan Paton,2009-08-01,11,1,male,ZA
Alan Paton,2009-09-01,5,1,male,ZA
Alan Paton,2009-10-01,10,1,male,ZA
Alan Paton,2009-11-01,8,1,male,ZA
Alan Paton,2009-12-01,3,1,male,ZA
Alan Paton,2010-01-01,9,1,male,ZA
Alan Paton,2010-02-01,3,1,male,ZA
Alan Paton,2010-03-01,4,1,male,ZA
Alan Paton,2010-04-01,9,1,male,ZA
Alan Paton,2010-05-01,8,1,male,ZA
Alan Paton,2010-06-01,9,1,male,ZA
Alan Paton,2010-07-01,8,1,male,ZA
Alan Paton,2010-08-01,8,1,male,ZA
Alan Paton,2010-09-01,7,1,male,ZA
Alan Paton,2010-10-01,13,1,male,ZA
Alan Paton,2010-11-01,3,1,male,ZA
Alan Paton,2010-12-01,5,1,male,ZA
Alan Paton,2011-01-01,6,1,male,ZA
Alan Paton,2011-02-01,10,1,male,ZA
Alan Paton,2011-03-01,5,1,male,ZA
Alan Paton,2011-04-01,11,1,male,ZA
Alan Paton,2011-05-01,4,1,male,ZA
Alan Paton,2011-06-01,10,1,male,ZA
Alan Paton,2011-07-01,8,1,male,ZA
Alan Paton,2011-08-01,4,1,male,ZA
Alan Paton,2011-09-01,2,1,male,ZA
Alan Paton,2011-10-01,4,1,male,ZA
Alan Paton,2011-11-01,12,1,male,ZA
Alan Paton,2011-12-01,11,1,male,ZA
Alan Paton,2012-01-01,5,1,male,ZA
Alan Paton,2012-02-01,5,1,male,ZA
Alan Paton,2012-03-01,6,1,male,ZA
Alan Paton,2012-04-01,4,1,male,ZA
Alan Paton,2012-05-01,7,1,male,ZA
Alan Paton,2012-06-01,7,1,male,ZA
Alan Paton,2012-07-01,10,1,male,ZA
Alan Paton,2012-08-01,7,1,male,ZA
Alan Paton,2012-09-01,5,1,male,ZA
Alan Paton,2012-10-01,15,1,male,ZA
Alan Paton,2012-11-01,11,1,male,ZA
Alan Paton,2012-12-01,3,1,male,ZA
Alan Paton,2013-01-01,5,1,male,ZA
Alan Paton,2013-02-01,8,1,male,ZA
Alan Paton,2013-03-01,4,1,male,ZA
Alan Paton,2013-04-01,8,1,male,ZA
Alan Paton,2013-05-01,9,1,male,ZA
Alan Paton,2013-06-01,7,1,male,ZA
Alan Paton,2013-07-01,13,1,male,ZA
Alan Paton,2013-08-01,6,1,male,ZA
Alan Paton,2013-09-01,10,1,male,ZA
Alan Paton,2013-10-01,8,1,male,ZA
Alan Paton,2013-11-01,3,1,male,ZA
Alan Paton,2013-12-01,16,1,male,ZA
Alan Paton,2014-01-01,11,1,male,ZA
Alan Paton,2014-02-01,5,1,male,ZA
Alan Paton,2014-03-01,4,1,male,ZA
Alan Paton,2014-04-01,8,1,male,ZA
Alan Paton,2014-05-01,7,1,male,ZA
Alan Paton,2014-06-01,12,1,male,ZA
Alan Paton,2014-07-01,12,1,male,ZA
Alan Paton,2014-08-01,12,1,male,ZA
Alan Paton,2014-09-01,7,1,male,ZA
Alan Paton,2014-10-01,13,1,male,ZA
Alan Paton,2014-11-01,11,1,male,ZA
Alan Paton,2014-12-01,10,1,male,ZA
Alan Paton,2015-01-01,6,1,male,ZA
Alan Paton,2015-02-01,20,1,male,ZA
Alan Paton,2015-03-01,10,1,male,ZA
Alan Paton,2015-04-01,7,1,male,ZA
Alan Paton,2015-05-01,14,1,male,ZA
Alan Paton,2015-06-01,11,1,male,ZA
Alan Paton,2015-07-01,9,1,male,ZA
Alan Paton,2015-08-01,11,1,male,ZA
Alan Paton,2015-09-01,7,1,male,ZA
Alan Paton,2015-10-01,13,1,male,ZA
Alan Paton,2015-11-01,9,1,male,ZA
Alan Paton,2015-12-01,12,1,male,ZA
Alan Paton,2016-01-01,14,1,male,ZA
Alan Paton,2016-02-01,6,1,male,ZA
Alan Paton,2016-03-01,13,1,male,ZA
Alan Paton,2016-04-01,8,1,male,ZA
Alan Paton,2016-05-01,8,1,male,ZA
Alan Paton,2016-06-01,10,1,male,ZA
Alan Paton,2016-07-01,9,1,male,ZA
Alan Paton,2016-08-01,10,1,male,ZA
Alan Paton,2016-09-01,18,1,male,ZA
Alan Paton,2016-10-01,11,1,male,ZA
Alan Paton,2016-11-01,9,1,male,ZA
Alan Paton,2016-12-01,6,1,male,ZA
Alan Paton,2017-01-01,7,1,male,ZA
Alan Paton,2017-02-01,13,1,male,ZA
Alan Paton,2017-03-01,6,1,male,ZA
Alan Paton,2017-04-01,11,1,male,ZA
Alan Paton,2017-05-01,8,1,male,ZA
Alan Paton,2017-06-01,9,1,male,ZA
Alan Paton,2017-07-01,12,1,male,ZA
Alan Paton,2017-08-01,15,1,male,ZA
Alan Paton,2017-09-01,7,1,male,ZA
Alan Paton,2017-10-01,11,1,male,ZA
Alan Paton,2017-11-01,5,1,male,ZA
Alan Paton,2017-12-01,3,1,male,ZA
Alan Paton,2018-01-01,6,1,male,ZA
Alan Paton,2018-02-01,9,1,male,ZA
Alan Paton,2018-03-01,13,1,male,ZA
Alan Paton,2018-04-01,11,1,male,ZA
Alan Paton,2018-05-01,11,1,male,ZA
Alan Paton,2018-06-01,9,1,male,ZA
Alan Paton,2018-07-01,7,1,male,ZA
Alan Paton,2018-08-01,9,1,male,ZA
Alan Paton,2018-09-01,8,1,male,ZA
Alan Paton,2018-10-01,7,1,male,ZA
Alan Paton,2018-11-01,6,1,male,ZA
Alan Paton,2018-12-01,10,1,male,ZA
Alan Paton,2019-01-01,13,1,male,ZA
Alan Paton,2019-02-01,4,1,male,ZA
Alan Paton,2019-03-01,4,1,male,ZA
Alan Paton,2019-04-01,11,1,male,ZA
Alan Paton,2019-05-01,10,1,male,ZA
Alan Paton,2019-06-01,8,1,male,ZA
Alan Paton,2019-07-01,12,1,male,ZA
Alan Paton,2019-08-01,8,1,male,ZA
Alan Paton,2019-09-01,10,1,male,ZA
Alan Paton,2019-10-01,11,1,male,ZA
Alan Paton,2019-11-01,7,1,male,ZA
Alan Paton,2019-12-01,9,1,male,ZA
Alan Paton,2020-01-01,8,1,male,ZA
Alan Paton,2020-02-01,9,1,male,ZA
Alan Paton,2020-03-01,5,1,male,ZA
Alan Paton,2020-04-01,2,1,male,ZA
Alan Paton,2020-05-01,4,1,male,ZA
Alan Paton,2020-06-01,5,1,male,ZA
Alan Paton,2020-07-01,4,1,male,ZA
Alan Paton,2020-08-01,4,1,male,ZA
Alan Paton,2020-09-01,9,1,male,ZA
Alan Paton,2020-10-01,8,1,male,ZA
Alan Paton,2020-11-01,11,1,male,ZA
Alan Paton,2020-12-01,5,1,male,ZA
Alan Paton,2021-01-01,5,1,male,ZA
Alan Paton,2021-02-01,5,1,male,ZA
Alan Paton,2021-03-01,3,1,male,ZA
Alan Paton,2021-04-01,6,1,male,ZA
Alan Paton,2021-05-01,5,1,male,ZA
Alan Paton,2021-06-01,3,1,male,ZA
Alan Paton,2021-07-01,8,1,male,ZA
Alan Paton,2021-08-01,9,1,male,ZA
Alan Paton,2021-09-01,7,1,male,ZA
Alan Paton,2021-10-01,5,1,male,ZA
Alan Paton,2021-11-01,10,1,male,ZA
Alan Paton,2021-12-01,5,1,male,ZA
Alan Paton,2022-01-01,11,1,male,ZA
Alan Paton,2022-02-01,8,1,male,ZA
Alan Paton,2022-03-01,5,1,male,ZA
Alan Paton,2022-04-01,3,1,male,ZA
Alan Paton,2022-05-01,9,1,male,ZA
Alan Paton,2022-06-01,7,1,male,ZA
Alan Paton,2022-07-01,5,1,male,ZA
Alan Paton,2022-08-01,9,1,male,ZA
Alan Paton,2022-09-01,3,1,male,ZA
Alan Paton,2022-10-01,3,1,male,ZA
Alan Paton,2022-11-01,4,1,male,ZA
Alan Paton,2022-12-01,4,1,male,ZA
Alan Paton,2023-01-01,6,1,male,ZA
Alan Paton,2023-02-01,7,1,male,ZA
Alan Paton,2023-03-01,7,1,male,ZA
Alan Paton,2023-04-01,8,1,male,ZA
Alan Paton,2023-05-01,7,1,male,ZA
Alan Paton,2023-06-01,5,1,male,ZA
Alan Paton,2023-07-01,7,1,male,ZA
Alan Paton,2023-08-01,10,1,male,ZA
Alan Paton,2023-09-01,2,1,male,ZA
Alan Paton,2023-10-01,5,1,male,ZA
Alan Paton,2023-11-01,5,1,male,ZA
Alan Paton,2023-12-01,8,1,male,ZA
Alan Paton,2024-01-01,5,1,male,ZA
Alan Paton,2024-02-01,9,1,male,ZA
Alan Paton,2024-03-01,3,1,male,ZA
Alan Paton,2024-04-01,8,1,male,ZA
Alan Paton,2024-07-01,9,1,male,ZA
Alan Paton,2024-08-01,9,1,male,ZA
Alan Paton,2024-09-01,8,1,male,ZA
Alan Paton,2024-10-01,12,1,male,ZA
Alan Paton,2024-11-01,9,1,male,ZA
Alan Paton,2024-12-01,4,1,male,ZA
Alan Paton,2025-01-01,8,1,male,ZA
Alan Paton,2025-02-01,10,1,male,ZA
Albert Camus,2006-01-01,9,1,male,FR
Albert Camus,2006-02-01,13,3,male,FR
Albert Camus,2006-03-01,19,3,male,FR
Albert Camus,2006-04-01,7,3,male,FR
Albert Camus,2006-05-01,13,3,male,FR
Albert Camus,2006-06-01,22,3,male,FR
Albert Camus,2006-07-01,26,3,male,FR
Albert Camus,2006-08-01,25,3,male,FR
Albert Camus,2006-09-01,18,3,male,FR
Albert Camus,2006-10-01,20,3,male,FR
Albert Camus,2006-11-01,17,3,male,FR
Albert Camus,2006-12-01,16,3,male,FR
Albert Camus,2007-01-01,21,3,male,FR
Albert Camus,2007-02-01,15,3,male,FR
Albert Camus,2007-03-01,28,3,male,FR
Albert Camus,2007-04-01,17,3,male,FR
Albert Camus,2007-05-01,12,3,male,FR
Albert Camus,2007-06-01,20,3,male,FR
Albert Camus,2007-07-01,22,3,male,FR
Albert Camus,2007-08-01,21,3,male,FR
Albert Camus,2007-09-01,21,3,male,FR
Albert Camus,2007-10-01,19,3,male,FR
Albert Camus,2007-11-01,16,3,male,FR
Albert Camus,2007-12-01,12,3,male,FR
Albert Camus,2008-01-01,30,3,male,FR
Albert Camus,2008-02-01,13,3,male,FR
Albert Camus,2008-03-01,19,3,male,FR
Albert Camus,2008-04-01,18,3,male,FR
Albert Camus,2008-05-01,17,3,male,FR
Albert Camus,2008-06-01,23,3,male,FR
Albert Camus,2008-07-01,23,3,male,FR
Albert Camus,2008-08-01,28,3,male,FR
Albert Camus,2008-09-01,21,3,male,FR
Albert Camus,2008-10-01,22,3,male,FR
Albert Camus,2008-11-01,21,3,male,FR
Albert Camus,2008-12-01,36,3,male,FR
Albert Camus,2009-01-01,34,3,male,FR
Albert Camus,2009-02-01,34,3,male,FR
