Title,Creator,Checkouts
Gone Girl,Gillian Flynn,35366
The Handmaid's Tale,Margaret Atwood,33240
Harry Potter and the Sorcerer's Stone,J.K. Rowling,31386
The Book Thief,Markus Zusak,30549
Twilight,Stephenie Meyer,29289
The Hunger Games,Suzanne Collins,27960
The Giver,Lois Lowry,27906
Pride and Prejudice,Jane Austen,27250
The Girl on the Train,Paula Hawkins,26610
A Wrinkle in Time,Madeleine L'Engle,24762
Harry Potter and the Chamber of Secrets,J.K. Rowling,24504
The Girl With the Dragon Tattoo,Stieg Larsson,20581
Catching Fire,Suzanne Collins,20230
Harry Potter and the Prisoner of Azkaban,J.K. Rowling,19564
The Lightning Thief,Rick Riordan,19389
Mockingjay,Suzanne Collins,19310
Harry Potter and the Half-Blood Prince,J.K. Rowling,18311
Harry Potter and the Goblet of Fire,J.K. Rowling,17797
"The Hobbit, or, There and Back Again",J.R.R. Tolkien,17526
The Help,Kathryn Stockett,17499
The Golden Compass,Philip Pullman,17289
Miss Peregrine's Home for Peculiar Children,Ransom Riggs,17183
Harry Potter and the Deathly Hallows,J.K. Rowling,16971
Harry Potter and the Order of the Phoenix,J.K. Rowling,16628
The Fellowship of the Ring,J.R.R. Tolkien,16591
To Kill a Mockingbird,Harper Lee,14244
The Maze Runner,James Dashner,14050
The Pillars of the Earth,Ken Follett,13228
Beloved,Toni Morrison,13059
The Sea of Monsters,Rick Riordan,13026
The Great Gatsby,F. Scott Fitzgerald,12768
The Alchemist,Paulo Coelho,12686
Little Women,Louisa May Alcott,12633
The Hitchhiker's Guide to the Galaxy,Douglas Adams,12598
The Girl Who Kicked the Hornet's Nest,Stieg Larsson,12452
The Girl Who Played With Fire,Stieg Larsson,12194
Brave New World,Aldous Huxley,12129
Fahrenheit 451,Ray Bradbury,12115
The Absolutely True Diary of a Part-time Indian,Sherman Alexie,11867
Inferno,Dan Brown,11864
The Fault In Our Stars,John Green,11612
The Road,Cormac McCarthy,11372
Anne of Green Gables,L.M. Montgomery,10773
Go Set a Watchman,Harper Lee,10464
Mary Poppins,P.L. Travers,10245
Ender's Game,Orson Scott Card,10194
The Stand,Stephen King,10167
The Lost Symbol,Dan Brown,10158
Persuasion,Jane Austen,10145
The Kite Runner,Khaled Hosseini,9979
Water for Elephants,Sara Gruen,9745
Moby Dick,Herman Melville,9607
Charlotte's Web,E.B. White,9523
One Hundred Years of Solitude,Gabriel García Márquez,9494
Artemis Fowl,Eoin Colfer,9434
The Graveyard Book,Neil Gaiman,9385
Eragon,Christopher Paolini,9344
The Count of Monte Cristo,Alexandre Dumas,9314
Anna Karenina,Leo Tolstoy,9198
A Thousand Splendid Suns,Khaled Hosseini,9185
